speed,steering,pwm,direction,duration_frames
0.0,0.0,0.0,0,25
30.0,0.0,30.0,1,1
60.0,0.0,60.0,1,1
90.0,0.0,90.0,1,1
120.0,0.0,120.0,1,1
150.0,0.0,150.0,1,1
180.0,0.0,180.0,1,1
200.0,0.0,200.0,1,21
170.0,0.0,170.0,1,1
200.0,0.0,200.0,1,13
200.0,-3.0,200.0,1,1
200.0,-6.0,200.0,1,1
200.0,-9.0,200.0,1,1
200.0,-12.0,200.0,1,1
200.0,-15.0,200.0,1,1
200.0,-18.0,200.0,1,1
200.0,-20.0,200.0,1,27
200.0,-17.0,200.0,1,1
200.0,-20.0,200.0,1,4
200.0,-17.0,200.0,1,1
200.0,-14.0,200.0,1,1
200.0,-11.0,200.0,1,1
200.0,-8.0,200.0,1,1
200.0,-5.0,200.0,1,1
200.0,-2.0,200.0,1,1
200.0,1.0,200.0,1,1
200.0,4.0,200.0,1,1
200.0,7.0,200.0,1,1
170.0,10.0,170.0,1,1
140.0,13.0,140.0,1,1
110.0,10.0,110.0,1,1
80.0,7.0,80.0,1,1
50.0,4.0,50.0,1,1
20.0,1.0,20.0,1,1
-10.0,-2.0,10.0,-1,1
-40.0,-5.0,40.0,-1,1
-70.0,-8.0,70.0,-1,1
-100.0,-11.0,100.0,-1,1
-130.0,-14.0,130.0,-1,1
-160.0,-17.0,160.0,-1,1
-190.0,-20.0,190.0,-1,1
-200.0,-20.0,200.0,-1,5
-200.0,-17.0,200.0,-1,1
-200.0,-14.0,200.0,-1,1
-200.0,-11.0,200.0,-1,1
-170.0,-8.0,170.0,-1,1
-140.0,-5.0,140.0,-1,1
-110.0,-2.0,110.0,-1,1
-80.0,1.0,80.0,-1,1
-50.0,4.0,50.0,-1,1
-20.0,7.0,20.0,-1,1
0.0,10.0,0.0,0,1
30.0,13.0,30.0,1,1
60.0,16.0,60.0,1,1
90.0,19.0,90.0,1,1
120.0,20.0,120.0,1,1
150.0,20.0,150.0,1,1
180.0,20.0,180.0,1,1
200.0,20.0,200.0,1,9
170.0,20.0,170.0,1,1
140.0,17.0,140.0,1,1
110.0,14.0,110.0,1,1
80.0,11.0,80.0,1,1
50.0,8.0,50.0,1,1
20.0,5.0,20.0,1,1
-10.0,2.0,10.0,-1,1
-40.0,-1.0,40.0,-1,1
-70.0,-4.0,70.0,-1,1
-100.0,-7.0,100.0,-1,1
-130.0,-10.0,130.0,-1,1
-160.0,-13.0,160.0,-1,1
-190.0,-16.0,190.0,-1,1
-200.0,-19.0,200.0,-1,1
-200.0,-20.0,200.0,-1,18
-170.0,-17.0,170.0,-1,1
-140.0,-14.0,140.0,-1,1
-110.0,-11.0,110.0,-1,1
-80.0,-8.0,80.0,-1,1
-50.0,-5.0,50.0,-1,1
-20.0,-2.0,20.0,-1,1
0.0,0.0,0.0,0,1
30.0,3.0,30.0,1,1
60.0,6.0,60.0,1,1
90.0,9.0,90.0,1,1
120.0,12.0,120.0,1,1
150.0,9.0,150.0,1,1
180.0,6.0,180.0,1,1
200.0,3.0,200.0,1,1
200.0,0.0,200.0,1,2
200.0,3.0,200.0,1,1
170.0,0.0,170.0,1,1
140.0,0.0,140.0,1,1
110.0,0.0,110.0,1,1
80.0,0.0,80.0,1,1
50.0,0.0,50.0,1,1
20.0,0.0,20.0,1,1
0.0,0.0,0.0,0,3
-30.0,0.0,30.0,-1,1
-60.0,0.0,60.0,-1,1
-90.0,0.0,90.0,-1,1
-120.0,-3.0,120.0,-1,1
-150.0,-6.0,150.0,-1,1
-180.0,-9.0,180.0,-1,1
-200.0,-12.0,200.0,-1,1
-200.0,-15.0,200.0,-1,1
-200.0,-18.0,200.0,-1,1
-200.0,-20.0,200.0,-1,7
-170.0,-17.0,170.0,-1,1
-140.0,-14.0,140.0,-1,1
-110.0,-11.0,110.0,-1,1
-80.0,-8.0,80.0,-1,1
-50.0,-5.0,50.0,-1,1
-20.0,-2.0,20.0,-1,1
0.0,0.0,0.0,0,35
